Duration (min),Age,Weight (kg),Calories Burned,Exercise_Boxing,Exercise_Cycling,Exercise_Dancing,Exercise_Hiking,Exercise_Jump Rope,Exercise_Pilates,Exercise_Rowing,Exercise_Running,Exercise_Swimming,Exercise_Walking,Exercise_Weight Training,Exercise_Yoga,Intensity_High,Intensity_Low,Intensity_Medium
53,30,98,296,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
46,45,94,555,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
43,28,86,380,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
54,48,70,486,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
75,57,93,637,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
13,42,87,129,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
66,32,78,441,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
77,39,89,1174,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
62,58,86,609,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
77,19,71,390,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
75,34,74,507,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
80,31,98,784,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
31,21,79,314,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
17,32,61,106,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
76,24,50,325,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
70,59,70,350,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
52,26,59,175,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
34,59,51,247,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
54,28,64,592,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
77,38,58,574,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
26,35,52,185,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
40,47,60,137,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
33,40,90,339,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
64,43,65,427,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
71,39,92,466,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
43,38,50,147,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
19,23,93,242,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
36,58,87,214,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
85,46,95,969,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
22,34,62,233,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
58,19,95,944,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
88,26,81,916,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
59,18,82,221,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
42,50,96,622,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
37,40,55,174,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
42,32,65,343,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
37,22,91,346,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
82,24,69,646,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
34,29,94,365,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
52,21,70,499,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
11,52,92,104,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
89,36,90,801,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
86,18,55,324,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
46,37,54,468,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
55,35,82,206,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
35,55,79,474,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
73,23,67,614,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
68,52,57,398,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
37,27,76,433,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
67,18,72,496,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
23,19,58,228,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
59,44,55,333,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
85,55,82,398,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
51,30,50,291,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
80,22,93,1020,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
90,30,67,758,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,24,82,182,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
19,50,98,292,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86,42,100,982,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
68,31,56,544,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
35,54,100,600,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
52,37,82,804,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
62,44,91,386,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
33,20,92,173,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
69,22,70,621,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
29,32,86,299,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
47,42,92,444,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
78,19,63,673,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
11,48,57,85,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
73,30,50,500,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
61,51,66,368,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
54,43,87,483,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
84,50,96,1036,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
14,29,52,66,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
22,37,61,230,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
30,48,94,241,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
79,24,58,785,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
14,19,60,132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,34,78,120,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
17,46,85,247,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
36,58,99,407,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
75,40,90,848,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
82,44,93,784,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
32,59,99,434,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
72,58,85,734,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
23,51,58,137,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
29,26,92,304,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
24,19,52,171,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
16,27,89,179,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
62,40,57,403,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
88,18,67,808,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
26,57,84,124,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
78,55,90,702,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
86,55,67,592,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
76,56,80,608,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
78,33,87,853,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
84,42,94,1488,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30,18,77,316,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
25,43,99,381,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
19,59,53,138,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
14,59,91,116,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
66,21,54,448,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
80,59,97,886,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
83,27,60,682,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
19,30,62,107,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
60,20,82,224,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
88,33,61,674,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
46,56,64,210,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
37,24,76,361,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
24,41,59,202,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
26,47,53,177,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
56,46,81,855,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
78,19,72,770,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
18,24,84,194,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
50,28,87,435,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
57,43,100,651,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
66,55,85,512,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
71,35,94,381,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
51,27,94,821,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
86,42,77,1135,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
65,19,63,292,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
82,24,63,531,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
88,49,51,205,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
71,39,99,602,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
81,39,73,760,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
62,29,61,583,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
15,54,78,66,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
51,30,54,432,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,28,98,154,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
43,44,54,398,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
78,24,75,752,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
18,42,54,199,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
87,50,98,1096,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
76,19,79,926,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
65,40,62,287,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
52,48,60,481,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
40,49,57,130,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
65,27,57,264,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
10,45,53,30,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
48,44,74,202,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
64,23,74,433,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
63,36,93,903,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
12,22,51,69,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
90,46,72,1221,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,34,83,71,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
68,46,98,1370,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
41,36,67,313,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
71,28,59,718,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
66,51,81,488,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
20,33,73,175,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
24,60,97,133,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
64,42,81,592,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
15,46,55,106,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
50,39,61,244,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
18,53,70,115,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
24,42,95,234,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
28,31,53,212,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
41,45,61,228,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
84,48,86,330,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
89,33,61,837,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
68,39,98,533,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
81,50,84,1166,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
51,36,64,335,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
76,21,82,427,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
57,43,100,895,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,19,80,82,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
85,39,64,544,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
79,53,61,440,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
53,27,86,468,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
23,24,96,227,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
64,49,74,811,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
13,21,67,79,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
17,20,69,241,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
70,25,88,352,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
40,43,96,307,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
63,59,65,234,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
57,41,77,601,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
88,36,98,1232,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
84,36,68,261,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
35,58,85,459,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
43,38,54,238,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
29,53,74,214,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
89,28,100,1398,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
88,27,89,1476,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
33,53,70,105,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
85,25,75,510,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
72,47,91,673,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
67,44,63,385,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
60,22,64,219,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
28,27,93,178,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
64,28,88,643,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
25,56,90,257,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
87,25,80,1073,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
79,51,50,225,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
40,37,69,473,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
37,28,95,351,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
30,49,92,252,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
46,57,98,412,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
51,46,82,238,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
74,36,53,179,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
10,37,73,100,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
63,37,67,361,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
65,38,65,386,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
10,20,81,111,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
19,36,96,208,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
43,23,68,167,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
24,24,76,234,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
35,52,82,196,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
41,57,78,383,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
39,55,81,361,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
33,39,78,323,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
57,60,83,473,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
27,41,60,138,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
15,56,70,75,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
49,47,71,238,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
56,31,69,331,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
81,40,84,777,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
88,27,50,452,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
23,41,97,229,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
59,40,50,252,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
43,24,97,190,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
78,39,56,524,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
83,60,62,352,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
62,41,96,425,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
50,20,81,324,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
42,19,85,550,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
26,41,96,385,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
52,31,56,232,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
29,29,89,398,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
37,41,80,296,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
32,26,62,340,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
45,48,69,372,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
71,42,98,1192,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
77,23,86,1021,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
62,51,61,389,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
26,59,65,154,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
67,35,100,765,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
31,45,82,232,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
74,43,91,692,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
83,20,67,762,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
58,40,50,198,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
27,33,67,341,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,43,90,173,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
49,46,79,663,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
68,52,56,326,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
85,34,83,806,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
68,42,75,466,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
51,19,51,185,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
30,37,54,254,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,52,52,109,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
52,51,92,656,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
52,23,53,354,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
79,45,70,632,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
16,18,54,39,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
65,31,79,704,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
64,34,81,666,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
52,50,85,555,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
30,56,94,241,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
56,38,71,681,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
82,48,58,407,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
39,39,59,236,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
42,55,75,216,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
54,33,73,281,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
63,57,74,586,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
61,40,55,431,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
26,18,63,187,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
56,42,66,528,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
17,44,76,177,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
34,22,80,124,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
22,45,92,92,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
14,33,71,56,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
17,42,65,208,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
88,28,50,251,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
61,20,55,517,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
23,26,66,238,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,31,74,408,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
11,20,67,75,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
48,20,52,342,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
49,29,84,282,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
75,46,53,749,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23,33,75,266,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
17,56,55,74,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
77,40,67,353,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
67,52,90,930,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
17,36,87,232,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,48,93,316,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
46,29,90,425,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
54,60,81,374,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
26,52,100,237,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
21,42,82,78,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
38,58,89,425,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
30,56,91,195,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
81,43,67,558,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
39,25,100,278,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
49,60,54,151,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
23,34,60,63,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
33,28,98,277,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
70,54,95,608,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
54,27,97,359,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
68,24,95,996,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
51,29,87,380,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
49,19,82,413,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
22,51,72,248,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
78,50,94,1382,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
45,39,72,296,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
77,53,97,853,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
49,43,56,125,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
20,28,89,142,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
41,36,56,236,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
23,60,64,126,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
36,40,51,188,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
